"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"Oklahoma City, OK","OK",42,788,0.00510204081632653,-0.00126742712294043,-0.0137672090112641,10739
2016-11-30,"Louisville-Jefferson County, KY","KY",43,1021,0.00989119683481701,0.0271629778672032,0.0128968253968254,50390
2016-11-30,"Hartford, CT","CT",44,1281,0.00234741784037559,0.00234741784037559,0.0126482213438735,95454
2016-11-30,"Richmond, VA","VA",45,1237,0.00487408610885459,0.00897226753670473,0.0131040131040131,36521
2016-11-30,"New Orleans, LA","LA",46,1400,-0.0014265335235378,-0.0424076607387141,-0.103139013452915,40686
2016-11-30,"Buffalo, NY","NY",47,791,0.00253485424588086,-0.00126262626262626,0.0141025641025641,59899
2016-11-30,"Raleigh, NC","NC",48,1188,0.0050761421319797,0.0102040816326531,0.0531914893617021,23308
2016-11-30,"Birmingham, AL","AL",49,987,-0.00101214574898785,-0.012012012012012,-0.0314033366045142,16338
2016-11-30,"Salt Lake City, UT","UT",50,1357,0.00221565731166913,0.00742390497401633,0.046260601387818,70985
2016-11-30,"Rochester, NY","NY",51,885,0.0125858123569794,0.0278745644599303,0,24114
2016-11-30,"Grand Rapids, MI","MI",52,1268,-0.0101483216237315,-0.0327993897787948,0.0234059725585149,44682
2016-11-30,"Tucson, AZ","AZ",53,977,0.00205128205128205,0.00205128205128205,0.0449197860962567,56180
2016-11-30,"Urban Honolulu, HI","HI",54,2011,-0.0029747149231532,-0.00740375123395854,0.0120785103170609,126145
2016-11-30,"Tulsa, OK","OK",55,857,-0.00464576074332172,-0.0160734787600459,-0.00464576074332172,12769
2016-11-30,"Fresno, CA","CA",56,923,0.00326086956521739,-0.00216216216216216,0.0301339285714286,17203
2016-11-30,"Worcester, MA","MA",57,1286,-0.00387296669248644,-0.00387296669248644,0.0506535947712418,63288
2016-11-30,"Stamford, CT","CT",58,1888,0.00212314225053079,0.00854700854700855,0.00318809776833156,86948
2016-11-30,"Albuquerque, NM","NM",59,1005,0.00099601593625498,-0.0147058823529412,0.0172064777327935,6476
2016-11-30,"Albany, NY","NY",60,1069,-0.00279850746268657,-0.0174632352941176,0.0259117082533589,36909
2016-11-30,"Omaha, NE","NE",61,1071,-0.0138121546961326,-0.0263636363636364,0.0170940170940171,14810
2016-11-30,"New Haven, CT","CT",62,1279,0,-0.00775795190069822,0.00471327572663001,77814
2016-11-30,"Bakersfield, CA","CA",63,874,0.0092378752886836,0.00691244239631336,-0.0223713646532438,20444
2016-11-30,"Knoxville, TN","TN",64,1028,-0.000971817298347911,-0.0153256704980843,0.0479102956167176,25978
2016-11-30,"Greenville, SC","SC",65,981,-0.00808897876643074,-0.0334975369458128,0.016580310880829,11600
2016-11-30,"Ventura, CA","CA",66,2249,0.00178173719376392,0.00536432722396066,0.0509345794392523,48237
2016-11-30,"Allentown, PA","PA",67,1177,-0.000848896434634975,-0.00423011844331641,-0.00423011844331641,25082
2016-11-30,"El Paso, TX","TX",68,925,-0.00751072961373391,-0.0138592750533049,-0.0149094781682641,11982
2016-11-30,"Baton Rouge, LA","LA",69,1088,0.0111524163568773,0.00184162062615101,0.0381679389312977,11672
2016-11-30,"Dayton, OH","OH",70,825,-0.00121065375302663,-0.00602409638554217,0.0235732009925558,27479
2016-11-30,"McAllen, TX","TX",71,956,-0.0372608257804632,-0.110697674418605,-0.157709251101322,8167
2016-11-30,"Columbia, SC","SC",72,893,-0.00111856823266219,-0.0165198237885463,-0.00997782705099778,16843
2016-11-30,"Akron, OH","OH",73,1001,-0.00694444444444444,-0.0309777347531462,-0.0662313432835821,29462
